impl,grid_size,num_threads,time
pth,256,8,0.033278
pth,256,8,0.033685
pth,256,16,0.040252
pth,256,16,0.040895
pth,256,16,0.040992
pth,256,16,0.041484
pth,256,16,0.040580
pth,256,16,0.041425
pth,256,16,0.040893
pth,256,16,0.040589
pth,256,16,0.039465
pth,256,16,0.039266
pth,256,16,0.039815
pth,256,16,0.041345
pth,256,16,0.041381
pth,256,16,0.041397
pth,256,16,0.040910
pth,256,32,0.056209
pth,256,32,0.056100
pth,256,32,0.055811
pth,256,32,0.055587
pth,256,32,0.054522
pth,256,32,0.056421
pth,256,32,0.056519
pth,256,32,0.056426
pth,256,32,0.056337
pth,256,32,0.055809
pth,256,32,0.054952
pth,256,32,0.054656
pth,256,32,0.056036
pth,256,32,0.055311
pth,256,32,0.056389
pth,512,1,0.308224
pth,512,1,0.261170
pth,512,1,0.245940
pth,512,1,0.240307
pth,512,1,0.240443
pth,512,1,0.234557
pth,512,1,0.241602
pth,512,1,0.238199
pth,512,1,0.234436
pth,512,1,0.240211
pth,512,1,0.234481
pth,512,1,0.241519
pth,512,1,0.240796
pth,512,1,0.237034
pth,512,1,0.235067
pth,512,2,0.126866
pth,512,2,0.134466
pth,512,2,0.139476
pth,512,2,0.144289
pth,512,2,0.143695
pth,512,2,0.144333
pth,512,2,0.147990
pth,512,2,0.149023
pth,512,2,0.152734
pth,512,2,0.148609
pth,512,2,0.146849
pth,512,2,0.144010
pth,512,2,0.148395
pth,512,2,0.147628
pth,512,2,0.144171
pth,512,4,0.082842
pth,512,4,0.089076
pth,512,4,0.090530
pth,512,4,0.096231
pth,512,4,0.094523
pth,512,4,0.098811
pth,512,4,0.099420
pth,512,4,0.099247
pth,512,4,0.098485
pth,512,4,0.099295
pth,512,4,0.100154
pth,512,4,0.097270
pth,512,4,0.099729
pth,512,4,0.102804
pth,512,4,0.098016
pth,512,8,0.105037
pth,512,8,0.106516
pth,512,8,0.110162
pth,512,8,0.110537
pth,512,8,0.105203
pth,512,8,0.108733
pth,512,8,0.110415
pth,512,8,0.105826
pth,512,8,0.108295
pth,512,8,0.110033
pth,512,8,0.107981
pth,512,8,0.106222
pth,512,8,0.110157
pth,512,8,0.106718
pth,512,8,0.109168
pth,512,16,0.119726
pth,512,16,0.117365
pth,512,16,0.116505
pth,512,16,0.120656
pth,512,16,0.118249
pth,512,16,0.117261
pth,512,16,0.119788
pth,512,16,0.117496
pth,512,16,0.118584
pth,512,16,0.120604
pth,512,16,0.119163
pth,512,16,0.115410
pth,512,16,0.118486
pth,512,16,0.120508
pth,512,16,0.120205
pth,512,32,0.131078
pth,512,32,0.134374
pth,512,32,0.130642
pth,512,32,0.131033
pth,512,32,0.128793
pth,512,32,0.134202
pth,512,32,0.129724
pth,512,32,0.130981
pth,512,32,0.133958
pth,512,32,0.129856
pth,512,32,0.129048
pth,512,32,0.131297
pth,512,32,0.133634
pth,512,32,0.127916
pth,512,32,0.132174
pth,1024,1,1.042594
pth,1024,1,0.923158
pth,1024,1,0.917704
pth,1024,1,0.919623
pth,1024,1,0.919196
pth,1024,1,0.920801
pth,1024,1,0.918457
pth,1024,1,0.920716
pth,1024,1,0.917810
pth,1024,1,0.918290
pth,1024,1,0.925188
pth,1024,1,0.921539
pth,1024,1,0.916909
pth,1024,1,0.920125
pth,1024,1,0.918822
pth,1024,2,0.517069
pth,1024,2,0.555227
pth,1024,2,0.558190
pth,1024,2,0.573444
pth,1024,2,0.569000
pth,1024,2,0.558216
pth,1024,2,0.562049
